case_id,payment_id,vendor_id,scenario_id,fraud_label,fraud_type,campaign_id,expected_detection,known_relationships,label_source,provenance,source_dataset,synthetic
CASE-000071,PAY-000071,VND-0041,ACCOUNT_TAKEOVER,1,ACCOUNT_TAKEOVER,,INDIVIDUAL_FRAUD,REQUESTER_BEHAVIOR,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000037,PAY-000037,VND-0005,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000045,PAY-000045,VND-0026,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000022,PAY-000022,VND-0058,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000036,PAY-000036,VND-0001,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000055,PAY-000055,VND-0049,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000044,PAY-000044,VND-0052,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000026,PAY-000026,VND-0034,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000065,PAY-000065,VND-0001,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000081,PAY-000081,VND-0060,VENDOR_IMPERSONATION,1,VENDOR_IMPERSONATION,,INDIVIDUAL_FRAUD,BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000049,PAY-000049,VND-0037,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000030,PAY-000030,VND-0036,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000089,PAY-000089,VND-0038,DUPLICATE_PAYMENT,1,DUPLICATE_PAYMENT,,INDIVIDUAL_FRAUD,POTENTIAL_DUPLICATE_INVOICE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000023,PAY-000023,VND-0011,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000076,PAY-000076,VND-0022,VENDOR_IMPERSONATION,1,VENDOR_IMPERSONATION,,INDIVIDUAL_FRAUD,BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000014,PAY-000014,VND-0028,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000010,PAY-000010,VND-0004,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000040,PAY-000040,VND-0037,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000009,PAY-000009,VND-0027,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000069,PAY-000069,VND-0009,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000073,PAY-000073,VND-0022,INVOICE_FRAUD,1,INVOICE_FRAUD,,INDIVIDUAL_FRAUD,INVOICE_ANOMALY,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000020,PAY-000020,VND-0045,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000019,PAY-000019,VND-0025,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000083,PAY-000083,VND-0030,INVOICE_FRAUD,1,INVOICE_FRAUD,,INDIVIDUAL_FRAUD,INVOICE_ANOMALY,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000086,PAY-000086,VND-0038,ACCOUNT_TAKEOVER,1,ACCOUNT_TAKEOVER,,INDIVIDUAL_FRAUD,REQUESTER_BEHAVIOR,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000011,PAY-000011,VND-0009,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000025,PAY-000025,VND-0015,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000028,PAY-000028,VND-0059,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000002,PAY-000002,VND-0017,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000013,PAY-000013,VND-0057,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000074,PAY-000074,VND-0010,VENDOR_IMPERSONATION,1,VENDOR_IMPERSONATION,,INDIVIDUAL_FRAUD,BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000041,PAY-000041,VND-0048,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000015,PAY-000015,VND-0012,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000067,PAY-000067,VND-0060,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000066,PAY-000066,VND-0004,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000061,PAY-000061,VND-0055,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000082,PAY-000082,VND-0057,BENEFICIARY_FRAUD,1,BENEFICIARY_FRAUD,,INDIVIDUAL_FRAUD,BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000052,PAY-000052,VND-0052,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000033,PAY-000033,VND-0010,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000038,PAY-000038,VND-0048,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000021,PAY-000021,VND-0003,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000070,PAY-000070,VND-0028,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000034,PAY-000034,VND-0014,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000064,PAY-000064,VND-0041,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000075,PAY-000075,VND-0045,DUPLICATE_PAYMENT,1,DUPLICATE_PAYMENT,,INDIVIDUAL_FRAUD,POTENTIAL_DUPLICATE_INVOICE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000005,PAY-000005,VND-0041,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000006,PAY-000006,VND-0018,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000080,PAY-000080,VND-0004,DUPLICATE_PAYMENT,1,DUPLICATE_PAYMENT,,INDIVIDUAL_FRAUD,POTENTIAL_DUPLICATE_INVOICE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000048,PAY-000048,VND-0018,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000088,PAY-000088,VND-0029,ACCOUNT_TAKEOVER,1,ACCOUNT_TAKEOVER,,INDIVIDUAL_FRAUD,REQUESTER_BEHAVIOR,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000035,PAY-000035,VND-0057,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000060,PAY-000060,VND-0017,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000007,PAY-000007,VND-0004,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000077,PAY-000077,VND-0032,ACCOUNT_TAKEOVER,1,ACCOUNT_TAKEOVER,,INDIVIDUAL_FRAUD,REQUESTER_BEHAVIOR,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000042,PAY-000042,VND-0059,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000016,PAY-000016,VND-0019,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000078,PAY-000078,VND-0018,DUPLICATE_PAYMENT,1,DUPLICATE_PAYMENT,,INDIVIDUAL_FRAUD,POTENTIAL_DUPLICATE_INVOICE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000012,PAY-000012,VND-0026,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000085,PAY-000085,VND-0013,ACCOUNT_TAKEOVER,1,ACCOUNT_TAKEOVER,,INDIVIDUAL_FRAUD,REQUESTER_BEHAVIOR,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000054,PAY-000054,VND-0054,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000004,PAY-000004,VND-0007,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000072,PAY-000072,VND-0041,BENEFICIARY_FRAUD,1,BENEFICIARY_FRAUD,,INDIVIDUAL_FRAUD,BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000090,PAY-000090,VND-0049,INVOICE_FRAUD,1,INVOICE_FRAUD,,INDIVIDUAL_FRAUD,INVOICE_ANOMALY,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000057,PAY-000057,VND-0015,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000068,PAY-000068,VND-0035,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000050,PAY-000050,VND-0051,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000059,PAY-000059,VND-0010,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000087,PAY-000087,VND-0031,INVOICE_FRAUD,1,INVOICE_FRAUD,,INDIVIDUAL_FRAUD,INVOICE_ANOMALY,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000029,PAY-000029,VND-0009,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000062,PAY-000062,VND-0026,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000051,PAY-000051,VND-0055,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000046,PAY-000046,VND-0009,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000043,PAY-000043,VND-0003,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000079,PAY-000079,VND-0008,ACCOUNT_TAKEOVER,1,ACCOUNT_TAKEOVER,,INDIVIDUAL_FRAUD,REQUESTER_BEHAVIOR,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000056,PAY-000056,VND-0026,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000091,PAY-000091,VND-0001,COORDINATED_VENDOR_FRAUD,1,COORDINATED_VENDOR_FRAUD,CAMP-001,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000092,PAY-000092,VND-0012,COORDINATED_VENDOR_FRAUD,1,COORDINATED_VENDOR_FRAUD,CAMP-001,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000093,PAY-000093,VND-0024,COORDINATED_VENDOR_FRAUD,1,COORDINATED_VENDOR_FRAUD,CAMP-001,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000094,PAY-000094,VND-0038,COORDINATED_VENDOR_FRAUD,1,COORDINATED_VENDOR_FRAUD,CAMP-001,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000095,PAY-000095,VND-0008,PAYMENT_DIVERSION,1,PAYMENT_DIVERSION,CAMP-002,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000096,PAY-000096,VND-0020,PAYMENT_DIVERSION,1,PAYMENT_DIVERSION,CAMP-002,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000097,PAY-000097,VND-0045,PAYMENT_DIVERSION,1,PAYMENT_DIVERSION,CAMP-002,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000098,PAY-000098,VND-0017,BENEFICIARY_FRAUD,1,BENEFICIARY_FRAUD,CAMP-003,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000099,PAY-000099,VND-0034,BENEFICIARY_FRAUD,1,BENEFICIARY_FRAUD,CAMP-003,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000100,PAY-000100,VND-0053,BENEFICIARY_FRAUD,1,BENEFICIARY_FRAUD,CAMP-003,COORDINATED_CAMPAIGN,SHARED_BENEFICIARY;SHARED_REQUESTER;TEMPORAL_PROXIMITY;BENEFICIARY_CHANGE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
