vendor_id,vendor_name,vendor_category,entity_type,vendor_status,onboarding_date,vendor_age_days,primary_contact_name,trusted_email,trusted_phone,primary_bank_account,primary_ifsc,previous_bank_account,beneficiary_change_count,average_payment_amount,minimum_payment_amount,maximum_payment_amount,transaction_count_30d,transaction_count_90d,usual_requester_ids,usual_departments,risk_baseline,country,city,provenance,source_dataset,synthetic,scenario_profile
VND-0035,Singh Digital Systems,CONSULTING,VENDOR,ACTIVE,2026-06-02,183,Neha Shah,neha.shah@example.com,+91-9000083755,SYNTH-ACC-01032,SYNB7236309,,0,108211.7,59516.44,173138.72,0,16,"EMP-0008,EMP-0019","FINANCE,PROCUREMENT",14,India,Bengaluru,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0036,Malhotra Enterprise Pvt Ltd,OFFICE_SUPPLIES,VENDOR,ACTIVE,2026-03-22,1230,Vivaan Rao,vivaan.rao@example.com,+91-9000036114,SYNTH-ACC-01030,SYNB3338918,,0,132877.31,73082.52,212603.7,6,15,EMP-0021,ADMIN,15,India,Gurugram,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0037,Gupta Office Systems,CONSTRUCTION,VENDOR,ACTIVE,2026-04-21,407,Neha Menon,neha.menon@example.com,+91-9000031345,SYNTH-ACC-01040,SYNB1445699,,0,145538.48,80046.16,232861.57,1,13,"EMP-0007,EMP-0030","OPERATIONS,SALES",15,India,Hyderabad,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0038,Kulkarni Office Works,IT_SERVICES,VENDOR,UNDER_REVIEW,2026-04-08,1516,Rohan Kapoor,rohan.kapoor@example.com,+91-9000051151,SYNTH-ACC-01024,SYNB9000429,SYNTH-HIST-50619,2,205523.93,113038.16,328838.29,7,8,"EMP-0007,EMP-0008,EMP-0023,EMP-0026","FINANCE,IT,OPERATIONS,SALES",50,India,Chennai,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0041,Iyer Enterprise Systems,PROFESSIONAL_SERVICES,VENDOR,ACTIVE,2026-05-25,1149,Vikram Mehta,vikram.mehta@example.com,+91-9000094171,SYNTH-ACC-01003,SYNB2849745,SYNTH-HIST-94235,1,120204.4,66112.42,192327.04,0,7,"EMP-0001,EMP-0012,EMP-0018,EMP-0022,EMP-0025","FINANCE,HR,OPERATIONS,SALES",31,India,Ahmedabad,synthetic,rocketguard_vendor_master,TRUE,BENEFICIARY_CHANGE_HISTORY
VND-0044,Mehta Industrial Works,SOFTWARE,VENDOR,ACTIVE,2026-01-09,2395,Vikram Reddy,vikram.reddy@example.com,+91-9000014837,SYNTH-ACC-01053,SYNB5418274,,0,55729.26,30651.09,89166.82,6,15,EMP-0014,PROCUREMENT,22,India,Pune,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0045,Reddy Consulting Services,MARKETING,VENDOR,UNDER_REVIEW,2026-04-21,717,Priya Kapoor,priya.kapoor@example.com,+91-9000049590,SYNTH-ACC-01020,SYNB8329090,SYNTH-HIST-43145,2,191806.34,105493.49,306890.14,6,12,"EMP-0010,EMP-0015,EMP-0022","IT,OPERATIONS",50,India,Hyderabad,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0048,Bhat Technology Solutions,MAINTENANCE,VENDOR,ACTIVE,2026-02-09,2134,Arjun Gupta,arjun.gupta@example.com,+91-9000032121,SYNTH-ACC-01038,SYNB1601146,,0,93857.86,51621.82,150172.58,3,5,"EMP-0011,EMP-0012","ADMIN,SALES",23,India,Chennai,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0049,Verma Industrial Systems,PROFESSIONAL_SERVICES,VENDOR,ACTIVE,2026-04-05,1327,Vikram Verma,vikram.verma@example.com,+91-9000057328,SYNTH-ACC-01055,SYNB6204866,,0,144041.11,79222.61,230465.78,7,10,"EMP-0005,EMP-0016","IT,PROCUREMENT",54,India,Pune,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0051,Rao Logistics Pvt Ltd,CONSTRUCTION,VENDOR,ACTIVE,2026-03-02,815,Ananya Desai,ananya.desai@example.com,+91-9000024204,SYNTH-ACC-01050,SYNB1607717,,0,68738.88,37806.38,109982.21,6,12,EMP-0021,ADMIN,24,India,Noida,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0052,Desai Enterprise Solutions,PROFESSIONAL_SERVICES,VENDOR,ACTIVE,2026-01-25,75,Rahul Iyer,rahul.iyer@example.com,+91-9000071019,SYNTH-ACC-01044,SYNB1042459,,0,54805.93,30143.26,87689.49,2,7,"EMP-0018,EMP-0019","OPERATIONS,PROCUREMENT",14,India,Kolkata,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0053,Sethi Technology Works,OFFICE_SUPPLIES,VENDOR,UNDER_REVIEW,2026-02-07,363,Arjun Joshi,arjun.joshi@example.com,+91-9000051691,SYNTH-BEN-7003,SYNB3867703,SYNTH-HIST-36968,1,221600.0,121880.0,354560.0,0,13,EMP-0022,OPERATIONS,57,India,Mumbai,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0054,Menon Enterprise Systems,CONSTRUCTION,VENDOR,ACTIVE,2026-02-03,2509,Aditya Verma,aditya.verma@example.com,+91-9000056137,SYNTH-ACC-01054,SYNB8969181,,0,27360.84,15048.46,43777.34,5,8,EMP-0016,IT,21,India,Kolkata,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0055,Kulkarni Digital Systems,MANUFACTURING,VENDOR,ACTIVE,2026-02-06,1218,Tanya Desai,tanya.desai@example.com,+91-9000098734,SYNTH-ACC-01051,SYNB9813241,,0,164775.77,90626.67,263641.23,4,13,"EMP-0003,EMP-0020","FINANCE,OPERATIONS",8,India,Delhi,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0057,Malhotra Technology Services,MAINTENANCE,VENDOR,ACTIVE,2026-05-25,321,Kabir Chopra,kabir.chopra@example.com,+91-9000088291,SYNTH-ACC-01013,SYNB4994623,SYNTH-HIST-17011,1,309656.14,170310.88,495449.82,4,8,"EMP-0008,EMP-0015,EMP-0021","ADMIN,FINANCE,OPERATIONS",44,India,Delhi,synthetic,rocketguard_vendor_master,TRUE,BENEFICIARY_CHANGE_HISTORY
VND-0058,Bhat Technology Services,MARKETING,VENDOR,ACTIVE,2026-03-22,476,Arjun Menon,arjun.menon@example.com,+91-9000056909,SYNTH-ACC-01022,SYNB9624987,,0,137006.07,75353.34,219209.71,4,19,EMP-0022,OPERATIONS,5,India,Kolkata,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0059,Bhat Business Solutions,MANUFACTURING,VENDOR,ACTIVE,2026-06-24,267,Ananya Iyer,ananya.iyer@example.com,+91-9000025073,SYNTH-ACC-01028,SYNB8183130,,0,66929.79,36811.38,107087.66,2,8,"EMP-0019,EMP-0028","HR,PROCUREMENT",13,India,Bengaluru,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0060,Reddy Technology Systems,CONSTRUCTION,VENDOR,ACTIVE,2026-02-21,549,Rohan Kapoor,rohan.kapoor@example.com,+91-9000016438,SYNTH-ACC-01067,SYNB7538545,,0,87914.18,48352.8,140662.69,5,6,"EMP-0001,EMP-0005","FINANCE,PROCUREMENT",44,India,Pune,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
